,title,topic,topic_keywords
54,"BT Group Converts Telecom Infrastructure to EV Chargers | The telecom giant says 60,000 curbside cabinets could be adapted",3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
55,Researchers transform polluted water into fuel with urea removal | WPI researchers are turning the tide on water pollution. Their material efficiently removes urea and holds the key to turning it into clean hydrogen fuel.,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
56,Diodes at Right Angles Double Autofocus Capacity. Canon twists photosensor rules to build new tech from familiar parts.,10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
57,Urea-powered nanorobots reduce bladder tumors by 90% in mice,-1,
58,Flying Kites Deliver Container-Size Power Generation. Automated wind-energy system brings portable renewables off-grid.,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
59,Researchers develop world's first functioning graphene semiconductor | Breakthrough could eventually lead to terahertz processors,4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
60,Experts craft life-saving 'robot medics' for triage in high-risk places,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
61,The next generation of nuclear reactors is getting more advanced. Here’s how.,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
62,Researchers develop artificial 'power plants' in the form of tiny leaf-shapes to harness energy from the wind and rain.,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
63,"Crop Health Sensor Runs on Solar, Microbe Power | Electrical measurements on plant stem enable better water resource monitoring",-1,
64,EU breakthrough laser beams could power nanosatellites in space wirelessly | The research project demonstrated a power output of 20 watts using a fiber-optic laser and aims to increase this to kilowatts in the future.,-1,
65,"""Dirt-powered fuel cell"" draws near-limitless energy from soil | Paperback-sized device that nestles in soil, harvests power created as microbes break down dirt.",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
66,"Researchers use wireless sensor 5 times thinner than hair to map brain | UC San Diego researchers unveil a revolutionary brain monitoring system, enabling high-resolution, wireless recording in deep brain structures for diverse clinical applications.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
67,Mesh Wearables Meld Micro Sensors and LoRa Smarts. Say goodbye to box-and-strap wearable tech of old.,9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
68,Daimler Truck Fuels Big Rigs With Hydrogen GenH2’s fuel-cell-powered semi will hit German roads by middle of this year,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
69,MIT’s New Desalination System Produces Freshwater That Is “Cheaper Than Tap Water”,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
70,Biotagging method for animal identification using dissolvable microneedle arrays prepared by customisable moulds,-1,
71,The innovation that gets an Alzheimer’s drug through the blood-brain barrier. Focused ultrasound is just one strategy researchers are using to get drugs into the brain.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
72,Autophage rocket engine consumes plastic fuselage for fuel,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
73,"""Millennium Camera"" to take a 1,000-year long-exposure photo",10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
74,"Researchers trap CO2 from air into nanofibers to prevent its release | The two-step process also produces hydrogen gas as a by-product, which could also be used as a zero-emission fuel.",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
75,Innovative design achieves tenfold better resolution for functional MRI brain imaging,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
76,How Microsoft found a potential new battery material using AI,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
77,"E-Nose Sniffs Out Coffee Varieties Nearly Perfectly | Like Shazam but for java, the tech can help quantify coffee signatures",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
78,10x Stronger Than Kevlar: Amorphous Silicon Carbide Could Revolutionize Material Science,4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
79,Qualcomm's first-of-its-kind SoC can handle infotainment and ADAS on one chip,5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
80,"Solid-state battery design offers 6,000 cycles and 10-minute charge | The design solves dendrite-related issues by creating a multilayer battery with diverse materials and managing dendrites by containment.",3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
81,Air-steered X-65 jet from DARPA enters manufacturing phase,14,"drugs, body, lower, filled, patch, blood, push, deliver, inspired, ultrasound"
82,A light sail that could one day propel small spacecraft through interstellar realms is headed to the International Space Station and will be tested by astronauts on behalf of Cornell’s Space Systems Design Studio.,18,"ray, 10, laser, bright, ultrafast, waves, photons, crystals, atomic, sound waves"
83,These AI-powered apps can hear the cause of a cough,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
84,Silk-Based Transistors For Hybrid Applications. Silk incorporated as insulators could grant new sensing abilities to transistors.,4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
85,"Wearable Robotic Exosuit Improves Walking for Individuals With Parkinson’s Disease | Robotic exosuit eliminated gait freezing, a common and highly debilitating symptom.",-1,
86,Eye-tracking window tech tells sightseers about what they're looking at,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
87,‘Smart tweezer’ can pluck out single bacterium target from microbiome,-1,
88,"In a breakthrough, diabetics’ damaged cells regenerated to produce insulin | The discovery could mean that, one day, diabetics won't need to take multiple daily insulin injections.",12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
89,World's first partial heart transplant grows valves and arteries | This method can 'potentially double the number of hearts that are used for the benefit of children with heart disease.',16,"heat, cooling, material, energy, developing, exposure, extreme, temperatures, 50, effective"
90,Non-toxic materials open door for better cameras on consumer electronics | Researchers from ICFO and Qurv have developed a new type of quantum dots that are non-toxic and phosphine-free and can achieve high performance in the SWIR range.,10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
91,Scientists invent heat-controlling circuitry that keeps electronics cool,15,"jet, class, 72, targets, ice, china, fastest, field, air, developed"
92,"Researchers have successfully engineered the world's first functional semiconductor using graphene | In the 21st century, the pursuit is to develop electronic devices that are both smaller and faster, whether for applications in the medical sector or robotics.",4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
93,"SR-72: US secret hypersonic jet to allegedly break sound barrier in 2025 | Believed to be a top-secret project of the US Air Force, the SR-72 is touted to reach over 4,000 mph (6,437 kph), making it the fastest plane ever developed.",14,"drugs, body, lower, filled, patch, blood, push, deliver, inspired, ultrasound"
94,Nanotech Energy announces 18650 lithium-ion battery that resists burning down homes and cars,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
95,"In a new study, Cornell scientists show that genetically engineering bacteria could improve the efficiency for the purification of elements found in smartphones, computers, electric cars and wind turbines, and could even boost global economic supply chains.",8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
96,"A high-tech mouthguard that might help prevent concussions. Designed for athletes and soldiers, this new device provides real-time measurements of head impacts, reducing the risk of traumatic brain injury.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
97,Scientists develop 'flying dragon' robot to fight fires from a distance,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
98,Physicists upgrade world's biggest atom smasher to probe dark photons | The Compact Muon Solenoid (CMS) ongoing Run 3 experiment has presented its initial findings about the elusive dark photons.,17,"heart, human, transplant, soon, artificial, potential, world, species, number, embryo"
99,The first EV with a lithium-free sodium battery hits the road in January,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
100,"High-tech mouthguard with sensors redefines safety in sports, military | A cutting-edge mouthguard designed for athletes and soldiers is preventing concussions by 'sensing' real-time head impacts.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
101,"CERN's LHC to explore new frontiers with US-made superconducting magnets | The upgrade, known as the high-luminosity LHC (HL-LHC), will require new types of magnets to focus the beams of protons more tightly at the collision points of the ATLAS and CMS experiments.",-1,
102,This E-tongue mimicks human taste and recommends wine with different foods | Scientists pave the way for new culinary frontiers.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
103,Moderna’s mRNA cancer vaccine works even better than thought,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
104,Molecular jackhammers’ ‘good vibrations’ eradicate cancer cells. Light-induced whole-molecule vibration can rupture melanoma cells’ membrane.,-1,
105,"New Photonic Chip Is the Full Package. For the first time, researchers place a photonic filter and modulator on a standard chip.",5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
106,Magnetic Knots Push Future Computing Toward 3D. Twisted structures called hopfions are easy to move but hard to destroy,-1,
107,"Wireless TVs use built-in cameras, NFC readers to sell you stuff you see on TV. TV makers are getting more aggressive about using their hardware for ads.",10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
108,This vibrating pill could trick your stomach into feeling full | The pill stimulates the nerve endings in the stomach and alters the hormones related to hunger and satiety.,-1,
109,IBM demonstrates a nanosheet transistor that can withstand boiling nitrogen | IBM's concept nanosheet transistor could eventually lead to the development of a new class of chip,4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
110,"Scientists create water-spitting 'flying dragon' robot to fight fires | The robot features eight adjustable water jets in its central and head regions, with a flexible firehose directed by a control unit on a trailing wheeled cart.",2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
111,Head zaps help surgeons transfer skills from VR to IRL,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
112,IBM Demos Transistor with Liquid Nitrogen Cooling,4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
113,New nuclear deflection simulations advance planetary defense against asteroid threats,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
114,"Clot-busting ""millirobots"" corkscrew their way through blood vessels",13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
115,"The Surprising Possibilities of See-Through Wood | Stronger than plastic and tougher than glass, the resin-filled material is being exploited for smartphone screens, insulated windows and more",-1,
116,Tech Gives Sound Directionality to Hearing Aids. System identifies faces and links them to speech.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
117,"Quantum-inspired tech teleports data with light, like 'Star Trek' | “Now, it is possible to teleport information so that it never physically travels across the connection - a “Star Trek” technology made real,"" said researcher.",5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
118,Smart lasers for bone surgery. A feedback mechanism distinguishes between hard and soft tissue when cutting through bones.,-1,
119,"World’s largest electric cable close to power, could light 1.4 million homes | A high voltage direct current cable will connect UK homes with fresh green energy from the wind farms of Denmark.",3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
120,AI-screened eye pics diagnose childhood autism with 100% accuracy,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
121,Researchers invent 'methane cleaner' that could become a permanent fixture in cattle and pig barns,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
122,NASA’s Space Station Laser Comm Terminal Achieves First Link - NASA,18,"ray, 10, laser, bright, ultrafast, waves, photons, crystals, atomic, sound waves"
123,What Are Time Reflections And Why Are They So Promising In Tech?,-1,
124,"Intel, Samsung, and TSMC Demo 3D-Stacked Transistors. The Big Three can now all make CFETs—next stop on the Moore’s Law roadmap.",4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
125,"Tiny ‘Robots’ Made From Human Cells Show Wound-Healing Potential The so-called “anthrobots” can self-assemble and move on their own, and they prompted damaged neurons to regenerate in a recent study",-1,
126,"Portable, non-invasive, mind-reading AI turns thoughts into text",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
127,Wax-actuated adaptive tiles radically cut heating and cooling energy,15,"jet, class, 72, targets, ice, china, fastest, field, air, developed"
128,Ultrafast laser technology could help advance radiotherapy and treat tumors that are resistant to conventional radiotherapy.,18,"ray, 10, laser, bright, ultrafast, waves, photons, crystals, atomic, sound waves"
129,"US researchers become first to 3D-print steam turbine blades | ORNL researchers, in collaboration with Siemens tech, have achieved a milestone by 3D-printing large steam turbine blades.",11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
130,AI-Powered Microdisplay Adapts to Users’ Eyesight,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
131,Human brain-like supercomputer with 228 trillion links coming in 2024 | Australians develop a supercomputer capable of simulating networks at the scale of the human brain.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
132,‘Biocomputer’ combines lab-grown brain tissue with electronic hardware,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
133,"Hyundai unveils car tires with built-in, push-button snow chains",-1,
134,"Ultrasound Techniques Steers Tiny Drug Delivery Vehicles Through the Brain | For the first time, researchers have shown how microvesicles can be steered through the brain using ultrasound.",-1,
135,MIT engineers design a robotic replica of the heart’s right chamber,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
136,GM’s hydrogen ‘power cubes’ will be used in cement mixers and terminal tractors | The automaker is one of several betting that hydrogen fuel cells can power the next generation of heavy duty vehicles.,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
137,"Brain Implants Show Promise for People With Traumatic Brain Injuries in Small Study. Electrodes placed in the brains of five patients led to “profound” improvements in cognitive function, even years after their injuries.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
138,This bold psychedelic and VR fusion therapy could spark a mental health revolution. Psychologists are exploring ways of treating mental health disorders by combining psychedelics and virtual reality.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
139,The lucky break behind the first CRISPR treatment. Gene editing for sickle-cell is here. This is how researchers knew what DNA to change.,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
140,Rolls Royce plans '120-inch-long' mini nuclear reactor for Moon outpost | The auto giant displayed a conceptual model design of a nuclear Space Micro-Reactor at the UK Space Conference.,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
141,"Researchers use wood to create low-cost, long-lasting solar cells | Kraft lignin found in wood pulp improves the stability in organic solar cells due its ability to form hydrogen bonds that acts as a sort of glue.",-1,
142,Under-skin implant reverses type 1 diabetes without anti-rejection drugs,12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
143,"A quantum computer built by QuEra contains the largest ever number of ""logical quantum bits"", which can be used for error-free calculations",5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
144,"Listening In On Eye Movement. Researchers find auditory signals that encode how eyes move, with potential use in hearing aid tech.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
145,Doughnut plasma and 100 million°C cores: How scientists could soon make nuclear fusion a reality,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
146,Ultrasound can push vaccines into the body without needles | Vaccinations could be made less painful by treating skin with a vaccine-laden liquid and using ultrasound to push it into the body,13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
147,"Lockheed Martin's tech may allow quick calibration of space payload | It is all set to showcase the capabilities of its technology — an Electronically Steerable Antenna (ESA) payload nicknamed ""Tantrum"" — through a demonstration mission.",-1,
148,Large earthquakes could be identified months or even years in advance by detecting unique seismic signals. That's according to new research from a team of German researchers.,-1,
149,Texas plant to generate 10 MW of power with desk-sized turbines,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
150,"IBM releases 1,000+ qubit processor, roadmap to error correction | Company now expects useful error-corrected qubits by the end of the decade.",5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
151,GUIDi belt uses computer vision and haptics to guide the blind,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
152,"SmartHat may be the Swiss Army knife of safety helmets | The SmartHat is designed to make things easier, by packing a head-load of gadgets into a single safety helmet.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
153,Automatic bike transmission concept is wild and spiky—and could be a big shift,-1,
154,"China's latest non-nuclear submarine, the Type-039C Yuan Class, features a distinctive angled sail. We can now be confident that this is part of a sonar stealth technology. Other countries are also pursuing this general technique, but China is the first to field it.",14,"drugs, body, lower, filled, patch, blood, push, deliver, inspired, ultrasound"
155,"Japan Debuts Six-Story Experimental Fusion Reactor. The reactor, a forerunner for the vast ITER experiment in France, has the potential to hasten the race for cleaner energy.",6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
156,"AI-system boosts microgrid efficiency for rapid power outage recovery | During power outages, microgrids leverage local renewable sources like rooftop solar panels and small wind turbines for efficient power restoration.",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
157,Electrocaloric Material Makes Solid-State Fridge Scalable. Refrigerant-free refrigerators would be portable and efficient.,-1,
158,Michigan installs the US's first wireless EV charging public roadway,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
159,Tiny living robots made from human cells surprise scientists,-1,
160,At-home saliva testing could replace daily finger-jabs for diabetics,12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
161,New type of geothermal power plant powers data centers in the desert. Pilot plant in Nevada uses tech from fracking to generate power in arid landscape.,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
162,"Scientists make a laser accelerator with 10 billion electron-volt beam | The accelerator, an advanced wakefield laser accelerator, is under 20 feet long, generating a 10 billion electron-volt (10 GeV) electron beam.",17,"heart, human, transplant, soon, artificial, potential, world, species, number, embryo"
163,New Neurotech Eschews Electricity for Ultrasound. Companies team up to use ultrasound-on-chip tech to develop a brain computer interface.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
164,Cheaper microscope could bring protein mapping technique to the masses,-1,
165,"'Nuclear medicine': UK startup's fusion reactor could treat cancer | “Nuclear medicine has been helping to save lives for decades by enabling the medical profession to scan for cancer and directly treat tumors and cancerous cells at source,” say the founders of the startup.",6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
166,Researchers figure out how to bypass the fingerprint readers in most Windows PCs.,11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
167,Elon Musk’s Brain Implant Startup Is Ready to Start Surgery,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
168,A new study used a device that reshapes images into sound signals to let blind people “see” facial features | The results have shed new light on the brain areas used to identify and process faces.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
169,"Arizona's solar-over-canal project will tackle its major drought issue | As well as tackling much of the state's moderate to extreme water evaporation conditions, the initiative will also generate clean energy.",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
170,"Chemists Unveil the Slickest Surface Ever to Ward Off Water The discovery holds potential for various applications, including self-cleaning surfaces and de-icing glass, in in which droplet-repellent surfaces are useful.",-1,
171,Absorbable scaffold beats angioplasty for lower-leg artery disease,13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
172,Silk Meets Silicon: The Dawn of Biological Hybrid Transistors,4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
173,Robotic excavator builds a giant stone wall with no human assistance,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
